gene,score
UCHL1,0.00019004898244525585
ACOT7,0.00018887448390486207
P4HA2,0.00018818089923495915
PLAT,0.00018815134640356676
FABP5,0.00018741445692113955
GRN,0.00018610772565739886
CLTCL1,0.00018602903476130144
AHNAK,0.0001859984096932042
PGC,0.00018575015478733807
LUM,0.00018548215373933357
RHO,0.00018517963734951176
TUBB1,0.00018462057326726003
ATP1A1,0.00018431907536942458
UCHL3,0.00018428885597042682
S100A10,0.00018364208075222284
IL6,0.00018334753148609682
H2BC18,0.00018319698643465192
PRTN3,0.00018282920906306335
WDR1,0.0001826254882218482
TPO,0.0001823027077269435
PTPN22,0.00018218430868505823
ATP1A3,0.00018187750649069893
SERPINF1,0.00018178510878466477
CD58,0.0001815618809079701
L1TD1,0.00018137706456587392
ADI1,0.0001803466390193811
ERP29,0.00018028819339201534
KHSRP,0.00017949407193559893
HLA-DRA,0.00017870980308501574
S100A9,0.00017813500798362678
PABPC4,0.00017796470865213761
APBB1,0.000177863403120901
SRSF6,0.00017773212324882258
TRNT1,0.00017740911578796953
SELENBP1,0.00017739240171422396
FLG,0.00017710779894894923
OXCT2,0.0001763169103977673
PDCD6IP,0.00017630802771518634
GDI2,0.00017620391953010754
MAGI3,0.00017605084657057858
FLG2,0.0001756930038976259
CA6,0.00017559409661658837
DSP,0.00017510006097770599
GSTM3,0.00017497199165079696
SERPINF2,0.0001743134651860365
CD276,0.00017418301586419622
S100A11,0.00017397081831055096
SHBG,0.00017355290984950506
ATP1A4,0.00017341374249687903
SAG,0.00017335332254140974
H2BK1,0.00017255536654683896
CLIC1,0.0001725070790570742
H2BW1,0.0001720831183532935
PADI4,0.00017196139532442672
H2BW2,0.00017188380371095576
UBA6,0.00017170069791695922
RHCE,0.00017153762313582677
WBP2,0.00017143000148840616
CPB2,0.00017099200293162412
ST13,0.00017098467156960456
CSRP1,0.00017098060583927558
CA3,0.00017087598358255017
MYCBP,0.00017033273781163382
PLGRKT,0.00017030526785415885
CPB1,0.0001690654116643847
MAN2B2,0.00016885515640525003
AGBL2,0.00016882781298842005
PTPRZ1,0.0001682068447615132
PADI2,0.00016734169820995252
GPT,0.00016727539573063206
PIP4K2C,0.00016705695374785221
TNS1,0.00016660657691304644
PMP2,0.00016573427449594963
ENOSF1,0.0001656494909868766
CLEC3B,0.0001646890090465869
GPC6,0.00016461940793196419
TULP1,0.00016442684841196464
ZFAT,0.00016348566195261102
IVNS1ABP,0.00016346025463785744
GNE,0.00016326333862014836
IL1B,0.00016258865018949827
SP8,0.00016228420610285172
FHL1,0.00016194728394672178
PURB,0.00016139776302918283
PTP4A2,0.0001612399105371996
EDARADD,0.00016110629995010715
RBKS,0.00015063605621271775
GMPS,0.00014740029093927815
ESR1,0.00014454407594591837
GYS2,0.00014383418671769268
PRKACA,0.0001434397911186509
CALM3,0.00014235235591236191
UBA52,0.00014201237456800127
GALE,0.0001416416333280766
AMY1B,0.00013890924231692496
BCKDHB,0.00013356847564922525
AMY1C,0.00013026352350166304
ADSL,0.0001278675169056977
PPARA,0.0001273075481282907
GALK1,0.00012703490372964336
OTC,0.00012686944043552013
BCKDHA,0.00012423525929989107
MAPK3,0.00012290180544399375
ACADM,0.00012143658738656061
CALML5,0.00012103161451909436
EP300,0.0001204974697372226
PGM2L1,0.00011987183805929877
CALML3,0.00011882796041999168
GPX8,0.00011813331155034718
AGXT,0.00011788640907085366
GPX7,0.00011747499960469875
GPX2,0.00011738169800085375
CLPP,0.0001160281262685827
CALML4,0.00011359824440441717
RPS11,0.00011338428032295706
ACOX1,0.00011307000421182354
CALML6,0.00011244763840679469
GPX6,0.0001122435288858728
ALDH9A1,0.00011135333766122253
GPX3,0.00011086464674412867
PRKACB,0.00011054497074887234
IL2,0.00010828775295023817
MRPL3,0.00010686634280259537
CDH1,0.00010682662881595021
COX4I1,0.00010665953206301474
GPT2,0.00010619688602991962
PRKACG,0.00010611185534747822
GPX5,0.00010598939106485615
ATIC,0.00010565681395923022
ALDH2,0.00010509487839447863
TXNRD2,0.00010421706960190885
GOT1L1,0.00010374413626603361
OGDHL,0.00010372926033066609
DBT,0.00010368833919711933
SUCLG2,0.00010363298359707387
NADK,0.00010356267917918197
GLDC,0.00010297899156983399
MRPS7,0.00010266056047747014
ERBB2,0.0001022956166017388
CANX,0.00010209159319309548
HMGCR,0.00010025690289075946
MDM2,0.00010017303544450287
CD36,9.992089316850655e-05
IFNG,9.957953694627965e-05
POLR2B,9.850384016610539e-05
UQCRFS1,9.797415406179302e-05
MTHFD2,9.772794818169651e-05
GCG,9.758110996311419e-05
FOXO1,9.712179816465987e-05
UGDH,9.65930009929425e-05
PPAT,9.647894194396507e-05
LRRK2,9.594842812457533e-05
EGF,9.458819206245399e-05
RPL3L,9.432738014251082e-05
HADHA,9.428079357836873e-05
IRS1,9.389462914918244e-05
ALDH3A2,9.349297781541645e-05
SCARB1,9.323084323340372e-05
CD8A,9.302487659525441e-05
HADH,9.292763464528786e-05
ALDH7A1,9.275924215415422e-05
ADIPOQ,9.269811594520847e-05
NDUFV1,9.237445893467068e-05
BRCA1,9.167458425083702e-05
OAT,9.135333616063869e-05
SNCA,9.131652725729313e-05
LEP,9.12785336315128e-05
CCND1,9.071749726009036e-05
KDM6A,9.057579519814207e-05
ETFA,9.043657607242721e-05
RPL35,9.032906265496014e-05
MTHFD1,9.032673551703484e-05
AASDH,9.028334034093075e-05
NME8,8.983130575477724e-05
NDUFS2,8.965275253171651e-05
PARP1,8.944216858025889e-05
NFE2L2,8.932758643818753e-05
CREB1,8.928060081018337e-05
IDH3B,8.895698666485856e-05
MMP9,8.889420547887752e-05
CREBBP,8.834980271280546e-05
PCCB,8.812178647998566e-05
PRPS2,8.776359655729788e-05
ALDH1B1,8.776000219752515e-05
ALDH4A1,8.774011462478918e-05
ACACB,8.706548707413658e-05
SCARB2,8.638750520148698e-05
RPL12,8.627172213684521e-05
CDK1,8.592620463872314e-05
RPL26,8.576674880462747e-05
ATM,8.5741428842487e-05
IGF1,8.563080281502325e-05
EIF2S1,8.527758472431166e-05
HNF4A,8.519755286586984e-05
EHHADH,8.463661712710575e-05
ATP6,8.440838319867668e-05
TRIM28,8.42934390613396e-05
CXCL8,8.362204135326098e-05
IL10,8.360512271696716e-05
CDK4,8.356501345033604e-05
KDM6B,8.31083493190762e-05
SIRT3,8.24790157502977e-05
CYC1,8.102554619885411e-05
CDKN2A,8.09605950626384e-05
NDUFV2,8.045750099594173e-05
FOXO3,8.032913869026101e-05
ITGB1,8.030883988142032e-05
APOE,8.028637409749893e-05
MAPK1,7.929955297353438e-05
SQSTM1,7.92930013004814e-05
BRD4,7.901535642810817e-05
ACAA1,7.875959487321047e-05
HMGCL,7.849051355444114e-05
PALB2,7.840567989565653e-05
CDCA8,7.799953345536313e-05
PA2G4,7.793869853620648e-05
RPS12,7.746141569962638e-05
PINK1,7.745869675340007e-05
HMOX1,7.736733657062434e-05
ATP5PD,7.722182037612051e-05
BDNF,7.676682667347584e-05
KEAP1,7.655121500947272e-05
ACADVL,7.620841804897883e-05
POLR1A,7.600117617721131e-05
ACAT1,7.594445744168664e-05
